thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|header1|header2|kdheader|noitem|nmitem|vol1|sat1|vol2|sat2|vol3|sat3|vol4|sat4|volkeg|satkeg|hargasat|jumlah|rphblokir
2026|01|451547|015|08|CD|6212|BMB|03|51|2|001|100| A|524111|026|A||||1|Uang Harian|1|ORG|1|KALI|3|HARI|0||3.0|OH|296000|888000|0
2026|01|451547|015|08|CD|6212|BMB|03|51|2|001|100| A|524113|026|A||||1|Transport Lokal|8|KALI|2|ORG|0||0||16.0|OK|150000|2400000|0
2026|01|451547|015|08|CD|6212|FAC|03|51|2|001|100| A|521211|026|A||||1|KDM  Konsumsi Makan Peserta Satker|50|STKR|1|ORG|1|MODUL|1|FREK|50.0|OK|44120|2206000|0
2026|01|451547|015|08|CD|6212|FAC|03|51|2|001|100| A|521211|026|A||||2|KDM  Konsumsi Snack Peserta Satker|50|STKR|1|ORANG|1|MODUL|1|KALI|50.0|OK|15000|750000|0
2026|01|451547|015|08|CD|6212|FAC|03|51|2|001|100| A|521211|026|A||||3|KDM  Konsumsi Makan Panitia|4|ORG|1|MODUL|0||0||4.0|OK|44120|176000|0
2026|01|451547|015|08|CD|6212|FAC|03|51|2|001|100| A|521211|026|A||||4|KDM  Konsumsi Snack Panitia|4|ORG|1|MODUL|1|KALI|0||4.0|OK|15000|60000|0
2026|01|451547|015|08|CD|6212|FAH|03|51|2|001|100| A|521211|026|A||||1|KDM  Konsumsi Makan Peserta Satker|100|STKR|2|ORG|1|KEG|0||200.0|OK|51300|10260000|0
2026|01|451547|015|08|CD|6212|FAH|03|51|2|001|100| A|521211|026|A||||2|KDM  Konsumsi Snack Peserta Satker|100|STKR|2|ORG|1|KEG|0||200.0|OK|15300|3060000|0
2026|01|451547|015|08|CD|6212|FAH|03|51|2|001|100| A|521211|026|A||||3|KDM  Konsumsi Maknan Narasumber dan Panitia|12|ORG|1|KEG|0||0||12.0|OK|51334|616000|0
2026|01|451547|015|08|CD|6212|FAH|03|51|2|001|100| A|521211|026|A||||4|KDM  Konsumsi Snack Narasumber dan Panitia|12|ORG|1|KEG|0||0||12.0|OK|15334|184000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| A|521211|026|A||||1|KDM  Konsumsi Makan Peserta Unit|60|UNIT|2|ORG|2|KEG|0||240.0|OK|37800|9072000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| A|521211|026|A||||2|KDM  Konsumsi Snack Peserta Pemda|60|UNIT|2|ORG|2|KEG|0||240.0|OK|14400|3456000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| A|521211|026|A||||3|KDM  Konsumsi Makan Peserta KPPN|10|ORG|2|KEG|0||0||20.0|OK|37800|756000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| A|521211|026|A||||4|KDM  Konsumsi Snack Peserta KPPN|10|ORG|2|KEG|0||0||20.0|OK|14400|288000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| B|521211|026|A||||1|KDM  Konsumsi Makan Peserta Unit|60|UNIT|2|ORG|2|KEG|0||240.0|OK|32942|7906000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| B|521211|026|A||||2|KDM  Konsumsi Snack Peserta Unit|60|UNIT|2|ORG|2|KEG|0||240.0|OK|14400|3456000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| B|521211|026|A||||3|KDM  Konsumsi Makan Peserta Narasumber dan Panitia|10|ORG|2|KEG|0||0||20.0|OK|37800|756000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| B|521211|026|A||||4|KDM  Konsumsi Snack Peserta Narasumber dan Panitia|10|ORG|2|KEG|0||0||20.0|OK|14400|288000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| D|524111|026|A||||1|Uang Harian|0||3|ORG|4|KALI|1|HARI|12.0|OH|296000|3552000|0
2026|01|451547|015|08|CD|6212|FAL|03|51|2|004|100| D|524111|026|A||||2|Transport|3|ORANG|1|KALI|0||0||3.0|OK|210000|630000|0
2026|01|451547|015|08|CD|6213|FAC|03|51|2|001|100| A|521211|026|A||||1|KDM  Konsumsi Makan Peserta|15|ORG|2|KALI|0||0||30.0|OK|37800|1134000|0
2026|01|451547|015|08|CD|6213|FAC|03|51|2|001|100| A|521211|026|A||||2|KDM  Konsumsi Snack Peserta|15|ORG|2|KALI|0||0||30.0|OK|14400|432000|0
2026|01|451547|015|08|CD|6213|FAC|03|51|2|001|100| A|521211|026|A||||3|KDM  Konsumsi Makan Panitia|3|ORG|2|KALI|0||0||6.0|OK|37834|227000|0
2026|01|451547|015|08|CD|6213|FAC|03|51|2|001|100| A|521211|026|A||||4|KDM  Konsumsi Snack Panitia|3|ORG|2|KALI|0||0||6.0|OK|14334|86000|0
2026|01|451547|015|08|CD|6213|FAE|03|51|2|009|100| A|524113|026|A||||1|Transport Lokal|2|ORG|2|KALI|1|HARI|0||4.0|OK|150000|600000|0
2026|01|451547|015|08|CD|6213|FAL|03|51|2|003|100| A|524111|026|A||||1|Transport|1|KAB|2|ORG|1|KALI|0||2.0|OK|194000|388000|0
2026|01|451547|015|08|CD|6213|FAL|03|51|2|003|100| A|524111|026|A||||2|Uang Harian|3|KAB|5|ORG|1|HARI|0||15.0|OH|296000|4440000|0
2026|01|451547|015|08|CD|6213|FAL|03|51|2|003|100| A|524113|026|A||||1|Transport Lokal|1|FREK|2|ORG|2|HARI|0||4.0|OK|150000|600000|0
2026|01|451547|015|08|CD|6214|FAL|03|51|2|002|100| A|521211|026|A||||1|CTK  Pelaksanaan Kearsipan dan Dokumentasi|0||0||0||0||1.0|TAHUN|500000|500000|0
2026|01|451547|015|08|CD|6214|FAL|03|51|2|002|100| B|521211|026|A||||1|CTK  DokumentasiPencetakanPenggandaan|0||0||0||0||1.0|TAHUN|500000|500000|0
2026|01|451547|015|08|CD|6215|FAH|03|51|2|003|100| A|521211|026|A||||1|CTK  Pencetakan Laporan Keuangan|0||0||0||0||1.0|TAHUN|500000|500000|0
2026|01|451547|015|08|WA|4715|EBA|03|51|2|001|100| A|521811|026|A||||1|ATK  Alat Tulis Kantor dan Supplies Komputer|1|TAHUN|0||0||0||1.0|TAHUN|18242000|18242000|0
2026|01|451547|015|08|WA|4715|EBA|03|51|2|001|100| B|524113|026|A||||1|Transport Penilai|1|ORANG|1|KALI|0||0||1.0|OK|44000|44000|0
2026|01|451547|015|08|WA|4715|EBA|03|51|2|002|100| A|524111|026|A||||1|Uang Harian|2|ORG|3|KALI|1|HARI|0||6.0|OH|296000|1776000|0
2026|01|451547|015|08|WA|4715|EBA|03|51|2|002|100| A|524111|026|A||||2|Transport|1|ORG|1|KALI|0||0||1.0|KALI|150000|150000|0
2026|01|451547|015|08|WA|4715|EBA|03|51|2|994|002| A|521111|026|A||||1|Keperluan seharihari perkantoran|1|TAHUN|0||0||0||1.0|TAHUN|60870000|60870000|0
2026|01|451547|015|08|WA|4715|EBA|03|51|2|994|002| A|521111|026|A||||2|Jamuan Tamu|0||0||0||0||1.0|TAHUN|13000000|13000000|0
2026|01|451547|015|08|WA|4715|EBA|03|51|2|994|002| A|521111|026|A|01||1|3|Honorarium PPNPN 10 Orang|0||0||0||0||0.0||0|0|0
