thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|urskmpnen|kdib|kdlokus|reflokus|nmlokus
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|PB.60  Sosialisasi, Workshop dan ToT Standar Akuntansi Pemerintah (SAP)|00|||
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JB|PB.60  Penyelenggaraan Helpdesk Standar Akuntansi Pemerintah|00|||
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JC|PB.60  Forum Akuntansi Pemerintah Pusat|00|||
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JD|PB.60  Publikasi LKPP, LKBUN dan LKPP Berbahasa Inggris Audited Tahun 2025|00|||
2026|01|527010|015|08|CD|6212|AEF|01|51|1|005|100|HB|PB.40  Workshop Investasi BUMNPT|00|||
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HB|PB.40  FGD Investasipembiayaan Daerah dan Penerusan Pinjaman PemdaBUMD|00|||
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HD|PB.40  Investasi Pemerintah|00|||
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HE|PB.40  Workshop Pengelolaan Kredit Program|00|||
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HG|PB.40  Bimbingan Teknis Pemanfaatan Sistem Informasi Kredit Program|00|||
2026|01|527010|015|08|CD|6212|AEF|01|51|1|002|100|SA|PB.70  Sosialisasi Peraturan Terkait Jabatan Fungsional Bidang Perbendaharaan|00|||
2026|01|527010|015|08|CD|6212|FAC|01|51|1|001|100|LA|PB.80  Komunikasi Implementasi Aplikasi  Direktorat SITP|00|||
2026|01|527010|015|08|CD|6212|FAC|01|51|1|003|100|IA|PB.50  FGDSosialisasiEdukasi Satker BLU  Direktorat Pembinaan PK BLU|00|||
2026|01|527010|015|08|CD|6212|FAC|01|51|1|004|100|IA|PB.50  Refreshment Operasionalisasi Aplikasi BiOS PK BLU  Direktorat Pembinaan PK BLU|00|||
2026|01|527010|015|08|CD|6212|FAC|01|51|1|005|100|FA|PB.20  Pengelolaan Penyaluran DAK Fisik, Dana BOS, dan Dana Desa|00|||
2026|01|527010|015|08|CD|6212|FAC|01|51|1|007|100|IA|PB.50  Collecting dan Evaluasi Data Analytical BLU Direktorat Pembinaan PK BLU|00|||
2026|01|527010|015|08|CD|6212|FAC|01|51|1|008|100|SA|PB.70  Pelaksanaan Sertifikasi Kompetensi PPK, PPSPM dan Bendahara|00|||
2026|01|527010|015|08|CD|6212|FAC|01|51|1|008|100|SB|PB.70  Pelaksanaan Penilaian Kinerja Jabatan Fungsional Bidang Perbendaharaan|00|||
2026|01|527010|015|08|CD|6212|FAC|01|51|1|008|100|SC|PB.70  Pembinaan Unit Pembina Jabatan Fungsional Bidang Perbendaharaan KL|00|||
2026|01|527010|015|08|CD|6212|FAH|01|51|1|001|100|JA|PB.60  Pembinaan Penyusunan Laporan Keuangan Kuasa BUN TA 2025|00|||
2026|01|527010|015|08|CD|6212|FAH|01|51|1|003|100|JA|PB.60  Penyuluhan Penyusunan Laporan Keuangan KL dan BUN TA 2025 Level Operator|00|||
2026|01|527010|015|08|CD|6212|FAH|01|51|1|003|100|JB|PB.60  Sosialisasi Peraturan dan Sistem Aplikasi Terbaru|00|||
2026|01|527010|015|08|CD|6212|FAH|01|51|1|003|100|JC|PB.60  Pembinaan Penyusunan Laporan Keuangan KL (LKKL) TA 2025|00|||
2026|01|527010|015|08|CD|6212|FAH|01|51|1|002|100|JA|PB.60  Forum Group Discussion, Diseminasi serta Bimbingan Teknis GFS kepada Pihak Internal dan Eksternal DJPb|00|||
2026|01|527010|015|08|CD|6212|FAL|01|51|1|002|100|OB|PB.30  Analisis Meeting Oleh Chief Economist Perbankan dan Perusahaan Sekuritas dan FGD Risk And  Portfolio Management|00|||
2026|01|527010|015|08|CD|6212|FAL|01|51|1|002|100|OC|PB.30  Workshop, FGD dan Sosialisasi  Pengelolaan Kas Negara|00|||
2026|01|527010|015|08|CD|6212|FAL|01|51|1|002|100|OE|PB.30  Bimbingan Teknis dan Sosialisasi terkait Pengelolaan Kas Negara|00|||
2026|01|527010|015|08|CD|6212|FAL|01|51|1|002|100|OG|PB.30  Knowledge Sharing Program Active Cash Management|00|||
2026|01|527010|015|08|CD|6212|FAL|01|51|1|002|100|OH|PB.30  Pembinaan Bendahara Instansi Pada Kanwil dan KPPN|00|||
2026|01|527010|015|08|CD|6212|FAL|01|51|1|002|100|OJ|PB.30  Monev terkait Sistem Penyetoran Pajak Ke Kas Negara yang Terintegrasi Pencairan Dana Belanja Daerah|00|||
2026|01|527010|015|08|CD|6212|UAL|01|51|1|208|100|OE|PB.30  Workshop, FGD, dan Sosialisasi terkait Penggunaan Digital Payment  Marketplace|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|001|100|CA|PB.13 Monev Pengelolaan Kas|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|001|100|MA|PB.TP  Penyusunan Kajian Bidang Perbendaharaan|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|001|100|OB|PB.30  Rapat Koordinasi Pinjaman dan Hibah|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|001|100|OD|PB.30  Monitoring dan evaluasi Implementasi Teasury Billing System|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|002|100|SB|PB.70  Monitoring Implementasi Proses Bisnis pada Ditjen Perbendaharaan|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|009|100|HA|PB.40  Monitoring dan Evaluasi terkait Kredit Program|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|009|100|HB|PB.40  Monitoring dan Evaluasi Penyaluran Pinjaman|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|004|100|OA|PB.30  Monitoring dan Evaluasi Kemitraan BUMPUN dan Counterparty Pengelolaan SBN|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|004|100|OB|PB.30  Monitoring dan Evaluasi Perjanjian Kerjasama dengan Perbankan|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|003|100|CA|PB.13 Rekomendasi Peningkatan Kinerja BLU|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|003|100|IA|PB.50  Monitoring dan Evaluasi Kinerja dan Layanan  Direktorat Pembinaan PK BLU|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|003|100|IC|PB.50  Survey Pengguna Layanan Satker PK BLU  Direktorat Pembinaan PK BLU|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|003|100|IE|PB.50  Monitoring dan Evaluasi Maturity Rating Satker PK BLU  Direktorat Pembinaan PK BLU|00|||
2026|01|527010|015|08|CD|6213|FAE|01|51|1|003|100|IF|Monitoring dan Evaluasi Pemberdayaan UMKM Lingkup DJPB|00|||
2026|01|527010|015|08|CD|6213|FAH|01|51|1|001|100|JA|PB.60  Monitoring Implementasi Standar Akuntansi Pemerintah (SAP)|00|||
2026|01|527010|015|08|CD|6213|FAH|01|51|1|001|100|JB|PB.60  Monitoring Tindak Lanjut Pemerintah terhadap Temuan Pemeriksaan BPK atas LKPP|00|||
2026|01|527010|015|08|CD|6213|FAL|01|51|1|003|100|CA|PB.13  Pelaksanaan Kajian Fiskal Regional di Daerah|00|||
2026|01|527010|015|08|CD|6213|FAL|01|51|1|003|100|FA|PB.20  Spending Review|00|||
2026|01|527010|015|08|CD|6213|FAL|01|51|1|003|100|FB|PB.20  Kajian Fiskal Regional|00|||
2026|01|527010|015|08|CD|6213|FAL|01|51|1|003|100|FC|PB.20  Reviu Pelaksanaan Anggaran|00|||
2026|01|527010|015|08|CD|6214|AED|01|51|1|002|100|HA|PB.40  Penyusunan Perjanjian Terkait Investasi Pemerintah|00|||
2026|01|527010|015|08|CD|6214|FAE|01|51|1|001|100|CA|PB.13 Rekomendasi Investasi Pemerintah|00|||
2026|01|527010|015|08|CD|6214|FAE|01|51|1|001|100|HA|PB.40  Penyusunan Kajian Terkait Investasi Pemerintah|00|||
2026|01|527010|015|08|CD|6214|FAE|01|51|1|001|100|HB|PB.40  Penerusan Pinjaman Kepada BUMNBHLBLU|00|||
2026|01|527010|015|08|CD|6214|FAE|01|51|1|001|100|HC|PB.40  Penyelesaian Piutang Negara Terkait Investasi Pemerintah|00|||
2026|01|527010|015|08|CD|6214|FAE|01|51|1|001|100|HD|PB.40  Pengelolaan Kinerja Investasi|00|||
2026|01|527010|015|08|CD|6214|FAE|01|51|1|001|100|HE|PB.40  Riset dan Pengembangan Kebijakan Investasi Pemerintah|00|||
2026|01|527010|015|08|CD|6214|FAE|01|51|1|001|100|MA|PB.TP  Penyusunan Kajian Bidang Perbendaharaan|00|||
2026|01|527010|015|08|CD|6214|FAL|01|51|1|003|100|OA|PB.30  Rapat Dalam Rangka Perencanaan dan Optimalisasi Kas Pemerintah|00|||
2026|01|527010|015|08|CD|6214|FAL|01|51|1|003|100|OD|PB.30  Pembahasan dan Penyelesaian Pengelolaan Kas Negara|00|||
2026|01|527010|015|08|CD|6214|UAE|01|51|1|203|100|HB|PB.40 Monitoring dan Evaluasi skema baru Pembiayaan UMi|00|||
2026|01|527010|015|08|CD|6215|FAH|01|51|1|001|100|JA|PB.60  Government Finance Statistic (GFS)|00|||
2026|01|527010|015|08|CD|6215|FAH|01|51|1|005|100|HA|PB.40  Konsolidasi Laporan Pelaksanaan Investasi Pemerintah|00|||
2026|01|527010|015|08|CD|6215|FAH|01|51|1|004|100|JA|PB.60  Laporan Keuangan Pemerintah Pusat TA 2025|00|||
2026|01|527010|015|08|CD|6215|FAH|01|51|1|004|100|JB|PB.60  Laporan Keuangan Pemerintah Pusat Semester I TA 2026|00|||
