thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|ursoutput|sbmkvol|sbmksat|sbmkmin1|sbmkket|kdsb|volsout|volsbk|kdib
2026|01|527581|015|08|CD|6212|BMB|06|53|2|001|Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay|0||0|||1|0|00
2026|01|527581|015|08|CD|6212|FAC|06|53|2|001|Komunikasi dan Edukasi Implementasi Aplikasi|0||0|||79|0|00
2026|01|527581|015|08|CD|6212|FAH|06|53|2|001|Edukasi Dalam Rangka Penyusunan Laporan Keuangan Tingkat Kuasa BUN|0||0|||4|0|00
2026|01|527581|015|08|CD|6212|FAL|06|53|2|004|Konsultasi Pencairan Dana|0||0|||10|0|00
2026|01|527581|015|08|CD|6213|FAC|06|53|2|001|Monev Pengembangan Kompetensi KPA, PPK, PPSPM, Bendahara dan Pengelola Perbendaharaan|0||0|||10|0|00
2026|01|527581|015|08|CD|6213|FAE|06|53|2|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||2|0|00
2026|01|527581|015|08|CD|6213|FAL|06|53|2|003|Reviu Belanja Pemerintah|0||0|||1|0|00
2026|01|527581|015|08|CD|6214|FAL|06|53|2|002|Surat Perintah Pencairan/Penarikan/Repayment/Pengesahan Dana|0||0|||1824|0|00
2026|01|527581|015|08|CD|6215|FAH|06|53|2|003|Laporan Keuangan BUN|0||0|||4|0|00
2026|01|527581|015|08|WA|4715|EBA|06|53|2|001|Kerumahtanggaan|0||0|||12|0|00
2026|01|527581|015|08|WA|4715|EBA|06|53|2|002|Dukungan Pimpinan dan Keprotokoleran|0||0|||12|0|00
2026|01|527581|015|08|WA|4715|EBA|06|53|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|527581|015|08|WA|4715|EBD|06|53|2|Z36|Dokumen Pengelolaan Kinerja Organisasi|0||0|||2|0|00
2026|01|527581|015|08|WA|4718|BMB|06|53|2|001|Pembinaan/Edukasi Publik|0||0|||2|0|00
2026|01|527581|015|08|WA|4718|BMB|06|53|2|002|Kehumasan|0||0|||1|0|00
2026|01|527581|015|08|WA|4719|EBA|06|53|2|004|Hasil Survey/Rekomendasi Kepuasan Pengguna Layanan|0||0|||2|0|00
2026|01|527581|015|08|WA|4719|EBA|06|53|2|994|Layanan Perkantoran|0||0|||1|0|00
2026|01|527581|015|08|WA|4719|EBC|06|53|2|001|Pengembangan SDM|0||0|||19|0|00
2026|01|527581|015|08|WA|4715|EBB|06|53|2|004|Gedung/Bangunan|0||0|||270|0|00
2026|01|527521|015|08|CD|6212|BMB|05|12|2|001|Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay|0||0|||2|0|00
2026|01|527521|015|08|CD|6212|FAC|05|12|2|001|Komunikasi dan Edukasi Implementasi Aplikasi|0||0|||61|0|00
2026|01|527521|015|08|CD|6212|FAH|05|12|2|001|Edukasi Dalam Rangka Penyusunan Laporan Keuangan Tingkat Kuasa BUN|0||0|||8|0|00
2026|01|527521|015|08|CD|6212|FAL|05|12|2|004|Konsultasi Pencairan Dana|0||0|||18|0|00
2026|01|527521|015|08|CD|6213|FAC|05|12|2|001|Monev Pengembangan Kompetensi KPA, PPK, PPSPM, Bendahara dan Pengelola Perbendaharaan|0||0|||17|0|00
2026|01|527521|015|08|CD|6213|FAE|05|12|2|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||4|0|00
2026|01|527521|015|08|CD|6213|FAL|05|12|2|003|Reviu Belanja Pemerintah|0||0|||2|0|00
2026|01|527521|015|08|CD|6214|FAL|05|12|2|002|Surat Perintah Pencairan/Penarikan/Repayment/Pengesahan Dana|0||0|||2784|0|00
2026|01|527521|015|08|CD|6215|FAH|05|12|2|003|Laporan Keuangan BUN|0||0|||8|0|00
2026|01|527521|015|08|WA|4715|EBA|05|12|2|001|Kerumahtanggaan|0||0|||12|0|00
2026|01|527521|015|08|WA|4715|EBA|05|12|2|002|Dukungan Pimpinan dan Keprotokoleran|0||0|||12|0|00
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|527521|015|08|WA|4715|EBD|05|12|2|Z36|Dokumen Pengelolaan Kinerja Organisasi|0||0|||4|0|00
2026|01|527521|015|08|WA|4718|BMB|05|12|2|002|Kehumasan|0||0|||2|0|00
2026|01|527521|015|08|WA|4718|BMB|05|12|2|001|Pembinaan/Edukasi Publik|0||0|||4|0|00
2026|01|527521|015|08|WA|4719|EBA|05|12|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|527521|015|08|WA|4719|EBA|05|12|2|004|Hasil Survey/Rekomendasi Kepuasan Pengguna Layanan|0||0|||4|0|00
2026|01|527521|015|08|WA|4719|EBC|05|12|2|001|Pengembangan SDM|0||0|||30|0|00
2026|01|527521|015|08|WA|4715|EBB|05|12|2|004|Gedung/Bangunan|0||0|||335|0|00
2026|01|527268|015|08|CD|6212|BMB|03|51|2|001|Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay|0||0|||1|0|00
2026|01|527268|015|08|CD|6212|FAC|03|51|2|002|Bimbingan Teknis Pengelola Keuangan BLU|0||0|||985|0|00
2026|01|527268|015|08|CD|6212|FAH|03|51|2|003|Komunikasi dan Edukasi Penyusunan LKKL dan LKBUN|0||0|||4|0|00
2026|01|527268|015|08|CD|6212|FAH|03|51|2|002|Komunikasi dan Edukasi Dalam Rangka Penyusunan Government Financial Statistic (GFS)|0||0|||8|0|00
2026|01|527268|015|08|CD|6212|FAL|03|51|2|001|Pembinaan Pelaksanaan Anggaran|0||0|||8|0|00
2026|01|527268|015|08|CD|6213|ABA|03|51|2|001|Kajian atas Peluang Investasi dan Pinjaman Daerah|0||0|||2|0|00
2026|01|527268|015|08|CD|6213|FAE|03|51|2|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||2|0|00
2026|01|527268|015|08|CD|6213|FAE|03|51|2|008|ALCo Regional|0||0|||2|0|00
2026|01|527268|015|08|CD|6213|FAL|03|51|2|003|Reviu Belanja Pemerintah|0||0|||4|0|00
2026|01|527268|015|08|CD|6215|FAH|03|51|2|003|Laporan Keuangan BUN|0||0|||4|0|00
2026|01|527268|015|08|CD|6215|FAH|03|51|2|001|Government Financial Statistic (GFS)|0||0|||4|0|00
2026|01|527268|015|08|CD|6216|FAE|03|51|2|002|Rekomendasi Tarif Standar Biaya Masukan|0||0|||1|0|00
2026|01|527268|015|08|WA|4715|EBA|03|51|2|001|Kerumahtanggaan|0||0|||12|0|00
2026|01|527268|015|08|WA|4715|EBA|03|51|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|527268|015|08|WA|4715|EBA|03|51|2|002|Dukungan Pimpinan dan Keprotokoleran|0||0|||12|0|00
2026|01|527268|015|08|WA|4715|EBB|03|51|2|004|Gedung/Bangunan|0||0|||480|0|00
