thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|urskmpnen|kdib|kdlokus|reflokus|nmlokus
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| A|Pelaksanaan Customer Service dan Helpdesk Penerimaan Negara|00||0|0
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| B|Sosialisasi Sistem Penerimaan Negara|00||0|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|Rekonsiliasi Penerimaan Negara|00||0|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| B|Pengembangan dan Pemeliharaan Sistem Informasi Penerimaan Negara|00||0|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|959|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|962|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|Pelaksanaan Operasional Kantor|00||0|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|Pelaksanaan Operasional Kantor|00||0|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| D|Pemeliharaan Peralatan dan Mesin|00||0|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|994|002|HP|Honorarium PPNPN|00||0|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|994|002|TJ|Jasa Pemeliharaan/Annual Technical Support (ATS)|00||0|0
2027|01|015116|015|08|WA|4719|EBA|01|51|2|994|001| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015116|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|Penyelenggaraan Capacity Building|00||0|0
2027|01|015116|015|08|CD|6215|FAL|01|51|2|003|100| A|Penyusunan Laporan Kuasa BUN Daerah dan UAKPA BUN TK|00||0|0
2027|01|015116|015|08|CD|6215|FAL|01|51|2|003|100| B|Penyelesaian Koreksi Penerimaan PFK|00||0|0
2027|01|015117|015|08|CD|6212|AEF|01|51|2|I01|100| A|Pelaksanaan Customer Service dan Helpdesk Penerimaan Negara|00||0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|959|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|962|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|Pelaksanaan Operasional Kantor|00||0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|HP|Honorarium PPNPN|00||0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| L|Pemeliharaan Peralatan dan Mesin|00||0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|TJ|Jasa Pemeliharaan/Annual Technical Support (ATS)|00||0|0
2027|01|015117|015|08|WA|4715|EBD|01|51|2|Z34|100| A|Pelaksanaan Customer Service dan Helpdesk Penerimaan Negara|00||0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015117|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|Penyelenggaraan Capacity Building|00||0|0
2027|01|015114|015|08|CD|6212|FAC|01|51|2|001|100| A|Training Modul Aplikasi Sakti|00||0|0
2027|01|015114|015|08|CD|6212|FAC|01|51|2|009|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015114|015|08|CD|6212|FAL|01|51|2|004|100| A|Konsultasi|00||0|0
2027|01|015114|015|08|CD|6212|FAL|01|51|2|004|100| B|Sosialisasi dan Bimbingan Teknis|00||0|0
2027|01|015114|015|08|CD|6213|FAE|01|51|2|Q06|100| A|Pembinaan Jabatan Fungsional Perbendaharaan|00||0|0
2027|01|015114|015|08|CD|6213|FAL|01|51|2|003|100| A|Monev Pelaksanaan Anggaran|00||0|0
2027|01|015114|015|08|WA|4715|EBA|01|51|2|959|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015114|015|08|WA|4715|EBA|01|51|2|962|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015114|015|08|WA|4715|EBA|01|51|2|962|100| B|Koordinasi Penyusunan ATK PU|00||0|0
2027|01|015114|015|08|WA|4715|EBA|01|51|2|994|002| A|Pelaksanaan Operasional Kantor|00||0|0
2027|01|015114|015|08|WA|4715|EBA|01|51|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2027|01|015114|015|08|WA|4715|EBA|01|51|2|994|002|HP|Honorarium PPNPN|00||0|0
2027|01|015114|015|08|WA|4715|EBA|01|51|2|994|002| L|Pemeliharaan Peralatan dan Mesin|00||0|0
2027|01|015114|015|08|WA|4715|EBA|01|51|2|994|002| M|Pemeliharaan Gedung dan Bangunan|00||0|0
2027|01|015114|015|08|WA|4715|EBA|01|51|2|994|002|TJ|Jasa PemeliharaanAnnual Technical Support (ATS)|00||0|0
2027|01|015114|015|08|WA|4715|EBD|01|51|2|Z36|100| B|Pelaksanaan Manajemen Kinerja, Resiko dan Kepatuhan Internal|00||0|0
2027|01|015114|015|08|WA|4718|BMB|01|51|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015114|015|08|WA|4719|EBA|01|51|2|994|001| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015114|015|08|WA|4719|EBA|01|51|2|Z08|100| A|Survey Kepuasan Pengguna Layanan|00||0|0
2027|01|015114|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|Penyelenggaraan Capacity Building|00||0|0
2027|01|015114|015|08|CD|6212|BDG|01|51|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015114|015|08|CD|6215|FAL|01|51|2|003|100| A|Penyusunan Laporan Keuangan Tingkat Kuasa BUN di Daerah|00||0|0
2027|01|015114|015|08|CD|6215|FAL|01|51|2|003|100| B|Koordinasi UAKBUN-D KPPN di Kanwil|00||0|0
2027|01|015114|015|08|WA|4718|EBA|01|51|2|Z03|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015115|015|08|CD|6212|FAL|01|51|2|004|100| A|Konsultasi|00||0|0
2027|01|015115|015|08|CD|6212|FAL|01|51|2|004|100| B|Sosialisasi dan Bimbingan Teknis|00||0|0
2027|01|015115|015|08|CD|6213|FAE|01|51|2|Q06|100| A|Pembinaan Jabatan Fungsional Perbendaharaan|00||0|0
2027|01|015115|015|08|CD|6213|FAL|01|51|2|003|100| A|Monev Pelaksanaan Anggaran|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|959|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|962|100| A|TANPA SUB KOMPONEN|00||0|0
