thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|ursoutput|sbmkvol|sbmksat|sbmkmin1|sbmkket|kdsb|volsout|volsbk|kdib
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|Komunikasi Peraturan dan Pedoman Mengenai Akuntansi dan Pelaporan Keuangan Pemerintah|0||0|||301|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|005|Komunikasi dan Edukasi Implementasi Aplikasi Investasi Pemerintah|0||0|||62|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|Komunikasi dan Edukasi Peraturan, Ketetapan dan Pedoman Mengenai Investasi Pemerintah|0||0|||190|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|002|Komunikasi Peraturan dan Pedoman Mengenai Pembayaran Atas Beban APBN|0||0|||57|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|001|Komunikasi dan Edukasi Implementasi Aplikasi|0||0|||3|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|003|Peningkatan dan Pengembangan Kapasitas Pembina dan Pengelola Keuangan BLU|0||0|||36|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|008|Standardisasi Kompetensi Pengelola Perbendaharaan dan Edukasi Jabatan Fungsional Bidang Perbendaharaan|0||0|||14678|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|005|Edukasi Penyaluran DAK Fisik dan Dana Desa|0||0|||133|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|007|Penajaman Metode Analytical BLU|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|004|Edukasi Satker terkait Peningkatan Fungsi Aplikasi BIOS|0||0|||156|0|00
2026|01|527010|015|08|CD|6212|FAH|01|51|1|001|Edukasi Dalam Rangka Penyusunan Laporan Keuangan Tingkat Kuasa BUN|0||0|||19|0|00
2026|01|527010|015|08|CD|6212|FAH|01|51|1|003|Komunikasi dan Edukasi Penyusunan LKKL dan LKBUN|0||0|||60|0|00
2026|01|527010|015|08|CD|6212|FAH|01|51|1|002|Komunikasi dan Edukasi Dalam Rangka Penyusunan Government Financial Statistic (GFS)|0||0|||3|0|00
2026|01|527010|015|08|CD|6212|FAL|01|51|1|002|Komunikasi dan Edukasi Dalam Rangka Penerimaan dan Pengeluaran Kas|0||0|||16|0|00
2026|01|527010|015|08|CD|6212|UAL|01|51|1|208|Implementasi Digital Payment Marketplace pada Satker Kementerian Negara/Lembaga (PN)|0||0|||738|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|001|Monev Pengelolaan Kas Negara|0||0|||2|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|002|Rekomendasi Peningkatan Efektivitas dan Akuntabilitas Pelaksanaan APBN|0||0|||2|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||6|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|004|Rekomendasi Terkat Kemitraan dengan Perbankan|0||0|||2|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|003|Rekomendasi atas Peningatan Kinerja Keuangan BLU dan Investasi Pemerintah di Daerah|0||0|||6|0|00
2026|01|527010|015|08|CD|6213|FAH|01|51|1|001|Rekomendasi atas Penyusunan Laporan Keuangan Pemerintah|0||0|||1|0|00
2026|01|527010|015|08|CD|6213|FAL|01|51|1|003|Reviu Belanja Pemerintah|0||0|||4|0|00
2026|01|527010|015|08|CD|6214|AED|01|51|1|002|Perjanjian Terkait Investasi Pemerintah|0||0|||9|0|00
2026|01|527010|015|08|CD|6214|FAE|01|51|1|001|Kajian dan Rekomendasi Terkait Investasi Pemerintah|0||0|||31|0|00
