thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|header1|header2|kdheader|noitem|nmitem|vol1|sat1|vol2|sat2|vol3|sat3|vol4|sat4|volkeg|satkeg|hargasat|jumlah|rphblokir
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| A|521211|019|A||||1|KDM - Makan Rapat Pelaksanaan Customer Service dan Helpdesk|0||0||0||0||40|OH|57000|2280000|0
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| A|521211|019|A||||2|KDM - Snack Rapat Pelaksanaan Customer Service dan Helpdesk|0||0||0||0||40|OH|24000|960000|0
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| B|521211|019|A||||1|KDM - Makan Panitia Sosialisasi|1|KEG|13|ORG|0||0||13|OK|57000|741000|0
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| B|521211|019|A||||2|KDM - Snack Panitia Sosialisasi|1|KEG|13|ORG|0||0||13|OK|24000|312000|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|521211|019|A||||1|KDM - Konsumsi Makan Kegiatan Penelusuran Selisih Saldo|62|ORG|4|KEG|0||0||248|OK|57000|14136000|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|521211|019|A||||2|KDM - Konsumsi Snack Kegiatan Penelusuran Selisih Saldo|62|ORG|4|KEG|0||0||248|OK|24000|5952000|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|524111|019|A||||1|Transport PP|2|ORG|1|KEG|3|LOK|0||6|OK|600000|3600000|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|524111|019|A||||2|Uang Harian|2|ORG|3|HARI|3|LOK|0||18|OH|424000|7632000|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|524111|019|A||||3|Penginapan|2|ORG|2|HARI|3|LOK|0||12|OH|730000|8760000|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|524113|019|A||||1|Transport Dalam Kota|2|KEG|3|ORG|2|BANK|0||12|OK|170000|2040000|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| B|521211|019|A||||1|KDM - Makan Rapat Pengembangan dan Pemeliharaan Sistem Informasi Penerimaan Negara|0||0||0||0||40|OH|57000|2280000|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| B|521211|019|A||||2|KDM - Snack Rapat Pengembangan dan Pemeliharaan Sistem Informasi Penerimaan Negara|0||0||0||0||40|OH|24000|960000|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| B|524113|019|A||||1|Transport Dalam Kota|0||0||0||0||14|OK|170000|2380000|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|959|100| A|524113|019|A||||1|Transport Lokal|2|ORG|12|FREK|0||0||24|OK|170000|4080000|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|962|100| A|521211|019|A||||1|CTK - Dokumentasi/Pencetakan/Penggandaan/Laminasi|0||0||0||0||1|THN|4968000|4968000|0
2027|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||1|Kebutuhan Dasar Perkantoran |0||0||0||0||1|THN|60440000|60440000|0
