thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdib|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|ket|ket2
2026|01|527581|015|08|WA|4715|EBB|00|06|53|2|004|100|RB|533121|002|A|0|0| |0|Renovasi Rumah Negara Golongan I Tipe C Sejumlah 1 Unit (70 m2) dan Rumah Negara Golongan II Tipe D Sejumlah 4 Unit (200 m2)|
2026|01|527521|015|08|WA|4715|EBB|00|05|12|2|004|100|GB|533121|131|A|0|0| |0|Renovasi Layout Kantor Seluas 335 M2|
2026|01|527268|015|08|WA|4715|EBB|00|03|51|2|004|100|RA|533111|026|A|0|0| |0|Pekerjaan Fisik Rumah Negara Jl Erlangga Tipe C (2 Unit) dan Tipe D (4 Unit) seluas 480m2|
2026|01|527322|015|08|WA|4715|EBB|00|03|09|2|004|100|RB|533121|097|A|0|0| |0|Revitalisasi Kompleks Rumah Dinas Jl. Kol. Sugiyono 2 Unit Type D seluas 160 M2|
2026|01|528722|015|08|WA|4715|EBB|00|33|51|2|004|100|GL|533121|066|A|0|0| |0|Renovasi Pagar, Saluran Dan Pembuatan Filtrasi Air Bersih Hunian Pegawai Seluas 146 M2|
2026|01|528544|015|08|WA|4715|EBB|00|22|51|2|004|100|RB|533121|037|A|0|0| |0|Renovasi 3 Unit Rumah Dinas Seluas 136 M2|
2026|01|528750|015|08|WA|4715|EBB|00|25|10|2|004|100|GB|533121|085|A|0|0| |0|Pembangunan Satu Unit Gedung Kantor Seluas 191 M2|
2026|01|528750|015|08|WA|4715|EBB|00|25|10|2|004|100|RA|533111|085|A|0|0| |0|Pembangunan Mess Seluas 300 M2|
2026|01|527776|015|08|WA|4715|EBB|00|08|55|2|004|100|RB|533121|010|A|0|0| |0|Renovasi Rumah Dinas Gol. II Jl. Raya Nanggalo Gg Ikhlas No. 10 seluas 50 M2|Pembuatan Sumur Bor 3 Paket
2026|01|527010|015|08|CD|6212|FAN|42|01|51|1|ZZ1|ZZ1|CA|524111|019|A|0|0| |0|Pemanfaatan alokasi didasarkan pada Surat Keputusan Menteri/Pimpinan Lembaga|
2026|01|527010|015|08|WA|4715|EBB|00|01|51|1|004|100|GB|533121|019|A|0|0| |0|Renovasi Gedung Kantor seluas 1.640 m2|
2026|01|527010|015|08|WA|4715|EBB|00|01|51|1|004|100|RB|533121|019|A|0|0| |0|Renovasi Rumah Dinas Golongan II Tipe D seluas 1.044 m2|
2026|01|579330|015|08|WA|4715|EBB|00|01|54|2|004|100|GB|533121|019|A|0|0| |0|renovasi gedung kantor seluas 2775 M2|
2026|01|528764|015|08|WA|4715|EBB|00|25|08|2|004|100|GB|533121|113|A|0|0| |0|Renovasi Gedung Kantor Seluas 622 M2|
2026|01|613832|015|08|WA|4715|EBB|00|25|12|2|004|100|RC|533111|141|A|0|0| |0|Rekonstruksi 2 unit Rumah Negara Tipe E Plus Seluas 80 M2|
