thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|urskmpnen|kdib|kdlokus|reflokus|nmlokus
2026|01|527581|015|08|CD|6212|BMB|06|53|2|001|100| A|Profiling UMKM|00||0|0
2026|01|527581|015|08|CD|6212|FAC|06|53|2|001|100| A|Training Modul Aplikasi SAKTI|00||0|0
2026|01|527581|015|08|CD|6212|FAC|06|53|2|001|100| B|FGD dan Bimtek Transfer Keuangan Daerah|00||0|0
2026|01|527581|015|08|CD|6212|FAH|06|53|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527581|015|08|CD|6212|FAL|06|53|2|004|100| A|Konsultasi|00||0|0
2026|01|527581|015|08|CD|6212|FAL|06|53|2|004|100| B|Sosialisasi dan Bimbingan Teknis|00||0|0
2026|01|527581|015|08|CD|6212|FAL|06|53|2|004|100| D|Pembinaan Pemda, TKD, dan Penandatanganan BAR|00||0|0
2026|01|527581|015|08|CD|6213|FAC|06|53|2|001|100| A|Pembinaan Jabatan Fungsional Perbendaharaan|00||0|0
2026|01|527581|015|08|CD|6213|FAE|06|53|2|009|100| A|Monev Penyaluran Pembiayaan Ultra Mikro|00||0|0
2026|01|527581|015|08|CD|6213|FAL|06|53|2|003|100| A|Monev Pelaksanaan Anggaran|00||0|0
2026|01|527581|015|08|CD|6214|FAL|06|53|2|002|100| A|Pelaksanaan Pencairan/Penarikan/Pengesahan Dana|00||0|0
2026|01|527581|015|08|CD|6214|FAL|06|53|2|002|100| B|Penerbitan/Persetujuan/Rekonsiliasi Rekening/SKPP/Konfirmasi Penerimaan Negara, dll|00||0|0
2026|01|527581|015|08|CD|6215|FAH|06|53|2|003|100| A|Penyusunan Laporan Keuangan Tingkat Kuasa BUN di Daerah|00||0|0
2026|01|527581|015|08|CD|6215|FAH|06|53|2|003|100| B|Koordinasi UAKBUN-D KPPN di Kanwil|00||0|0
2026|01|527581|015|08|WA|4715|EBA|06|53|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527581|015|08|WA|4715|EBA|06|53|2|001|100| B|Koordinasi Penyusunan ATK PU|00||0|0
2026|01|527581|015|08|WA|4715|EBA|06|53|2|994|002| A|Keperluan Sehari-hari Perkantoran|00||0|0
2026|01|527581|015|08|WA|4715|EBA|06|53|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2026|01|527581|015|08|WA|4715|EBA|06|53|2|994|002| C|Pelaksanaan Operasional Kantor|00||0|0
2026|01|527581|015|08|WA|4715|EBA|06|53|2|994|002| D|Pemeliharaan Peralatan dan Mesin|00||0|0
2026|01|527581|015|08|WA|4715|EBA|06|53|2|994|002| G|Pemeliharaan Gedung dan Bangunan|00||0|0
2026|01|527581|015|08|WA|4715|EBA|06|53|2|994|002|TJ|Jasa Pemeliharaan/Annual Technical Support (ATS)|00||0|0
2026|01|527581|015|08|WA|4715|EBA|06|53|2|002|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527581|015|08|WA|4715|EBD|06|53|2|Z36|100| B|Pelaksanaan Manajemen Kinerja, Resiko dan Kepatuhan Internal|00||0|0
2026|01|527581|015|08|WA|4718|BMB|06|53|2|002|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527581|015|08|WA|4718|BMB|06|53|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527581|015|08|WA|4719|EBA|06|53|2|994|001| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527581|015|08|WA|4719|EBA|06|53|2|004|100| A|Survey Kepuasan Pengguna Layanan|00||0|0
2026|01|527581|015|08|WA|4719|EBC|06|53|2|001|100|XC|Penyelenggaraan Capacity Building|00||0|0
2026|01|527521|015|08|CD|6212|BMB|05|12|2|001|100|AA|Profiling UMKM - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6212|BMB|05|12|2|001|100|BA|Profiling UMKM - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6212|FAC|05|12|2|001|100|AA|Training Modul Aplikasi SAKTI - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6212|FAC|05|12|2|001|100|AB|FGD dan Bimtek Transfer Keuangan Daerah - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6212|FAC|05|12|2|001|100|BA|Training Modul Aplikasi SAKTI - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6212|FAC|05|12|2|001|100|BB|FGD dan Bimtek Transfer Keuangan Daerah - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6212|FAH|05|12|2|001|100|AA|TANPA SUB KOMPONEN - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6212|FAH|05|12|2|001|100|BA|TANPA SUB KOMPONEN - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6212|FAL|05|12|2|004|100|AA|Konsultasi - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6212|FAL|05|12|2|004|100|AB|Sosialisasi dan Bimbingan Teknis - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6212|FAL|05|12|2|004|100|AD|Pembinaan Pemda, TKD, dan Penandatanganan BA Rekonsiliasi Pajak - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6212|FAL|05|12|2|004|100|BA|Konsultasi - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6212|FAL|05|12|2|004|100|BB|Sosialisasi dan Bimbingan Teknis - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6212|FAL|05|12|2|004|100|BD|Pembinaan Pemda, TKD, dan Penandatanganan BA Rekonsiliasi Pajak - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6213|FAC|05|12|2|001|100|AA|Pembinaan Jabatan Fungsional Perbendaharaan - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6213|FAC|05|12|2|001|100|BA|Pembinaan Jabatan Fungsional Perbendaharaan - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6213|FAE|05|12|2|009|100|AA|Monev Penyaluran Pembiayaan Ultra Mikro - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6213|FAE|05|12|2|009|100|BA|Monev Penyaluran Pembiayaan Ultra Mikro - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6213|FAL|05|12|2|003|100|AA|Monev Pelaksanaan Anggaran - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6213|FAL|05|12|2|003|100|BA|Monev Pelaksanaan Anggaran - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6214|FAL|05|12|2|002|100|AA|Pelaksanaan Pencairan/Penarikan/Pengesahan Dana - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6214|FAL|05|12|2|002|100|AB|Penerbitan/Persetujuan/Rekonsiliasi Rekening/SKPP/Konfirmasi Penerimaan Negara, dll - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6214|FAL|05|12|2|002|100|BA|Pelaksanaan Pencairan/Penarikan/Pengesahan Dana - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6214|FAL|05|12|2|002|100|BB|Penerbitan/Persetujuan/Rekonsiliasi Rekening/SKPP/Konfirmasi Penerimaan Negara, dll - KPPN Unit|00||0|0
