thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|header1|header2|kdheader|noitem|nmitem|vol1|sat1|vol2|sat2|vol3|sat3|vol4|sat4|volkeg|satkeg|hargasat|jumlah|jumlah2|paguphln|pagurmp|pagurkp|kdblokir|blokirphln|blokirrmp|blokirrkp|rphblokir|kdcopy|kdabt|kdsbu|volsbk|volrkakl|blnkontrak|nokontrak|tgkontrak|nilkontrak|januari|pebruari|maret|april|mei|juni|juli|agustus|september|oktober|nopember|desember|jmltunda|kdluncuran|jmlabt|norev|kdubah|kurs|indexjm|kdib
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|01||1|1|Workshop SAP pada APIP KL|0||0||0||0||0||0|0|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|04||1|10|Sosialisasi SAP Berbasis Akrual pada Pemda|0||0||0||0||0||0|0|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|04|||11|KDM  Makan Rapat|34|ORG|2|FR|0||0||68|OF|35912|2442000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|203000|203000|203000|203000|203000|203000|203000|203000|203000|203000|203000|209000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|04|||12|KDM  KudapanSnack Rapat|33|ORG|2|FR|0||0||66|OF|15122|998000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|83000|83000|83000|83000|83000|83000|83000|83000|83000|83000|83000|85000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|05||1|13|Sosialisasi SAP Berbasis Akrual pada KL Pusat|0||0||0||0||0||0|0|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|05|||14|KDM  Makan Rapat|34|ORG|2|FR|0||0||68|OF|35912|2442000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|203000|203000|203000|203000|203000|203000|203000|203000|203000|203000|203000|209000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|05|||15|KDM  KudapanSnack Rapat|34|ORG|2|FR|0||0||68|OF|15118|1028000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|85000|85000|85000|85000|85000|85000|85000|85000|85000|85000|85000|93000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|01|||2|KDM  Makan Rapat|25|ORG|1|FR|0||0||25|OF|35920|898000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|74000|74000|74000|74000|74000|74000|74000|74000|74000|74000|74000|84000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|01|||3|KDM  KudapanSnack Rapat|25|ORG|1|FR|0||0||25|OF|15120|378000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|31000|31000|31000|31000|31000|31000|31000|31000|31000|31000|31000|37000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|02||1|4|Workshop Standar Akuntansi Pemerintah Daerah (SAPD)|0||0||0||0||0||0|0|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|02|||5|KDM  Makan Rapat|23|ORG|1|FR|0||0||23|OF|35914|826000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|68000|68000|68000|68000|68000|68000|68000|68000|68000|68000|68000|78000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|02|||6|KDM  KudapanSnack Rapat|23|ORG|1|FR|0||0||23|OF|15131|348000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|29000|29000|29000|29000|29000|29000|29000|29000|29000|29000|29000|29000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|03||1|7|Training of Trainers SAP pada KL|0||0||0||0||0||0|0|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|03|||8|KDM  Makan Rapat|25|ORG|1|FR|0||0||25|OF|35920|898000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|74000|74000|74000|74000|74000|74000|74000|74000|74000|74000|74000|84000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|03|||9|KDM  KudapanSnack Rapat|25|ORG|1|FR|0||0||25|OF|15120|378000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|31000|31000|31000|31000|31000|31000|31000|31000|31000|31000|31000|37000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|522151|019|A|0|0| |0||||1|Honorarium Narasumber|1|ORG|2|JAM|2|FR|0||4|OJ|792000|3168000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|264000|264000|264000|264000|264000|264000|264000|264000|264000|264000|264000|264000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524111|019|A|0|0| |0|01||1|1|Sosialisasi SAP Berbasis Akrual pada Pemda|0||0||0||0||0||0|0|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524111|019|A|0|0| |0|01|||2|Akomodasi|2|ORG|2|HR|1|FR|0||4|OHF|542500|2170000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|180000|180000|180000|180000|180000|180000|180000|180000|180000|180000|180000|190000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524111|019|A|0|0| |0|01|||3|Transport|2|ORG|1|FR|0||0||2|OF|932000|1864000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|155000|155000|155000|155000|155000|155000|155000|155000|155000|155000|155000|159000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524111|019|A|0|0| |0|01|||4|Uang Saku Harian|2|ORG|3|HR|1|FR|0||6|OHF|284334|1706000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|142000|142000|142000|142000|142000|142000|142000|142000|142000|142000|142000|144000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524111|019|A|0|0| |0|02||1|5|Sosialisasi SAP Berbasis Akrual pada KL Pusat|0||0||0||0||0||0|0|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524111|019|A|0|0| |0|02|||6|Akomodasi|3|ORG|2|HR|3|FR|0||18|OHF|464945|8369000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|697000|697000|697000|697000|697000|697000|697000|697000|697000|697000|697000|702000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524111|019|A|0|0| |0|02|||7|Transport|3|ORG|3|FR|0||0||9|OF|852445|7672000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|639000|639000|639000|639000|639000|639000|639000|639000|639000|639000|639000|643000|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524111|019|A|0|0| |0|02|||8|Uang Saku Harian|3|ORG|3|HR|3|FR|0||27|OHF|275075|7427000|0|0|0|0||0|0|0|0||| |0|0|| |-  -|0|618000|618000|618000|618000|618000|618000|618000|618000|618000|618000|618000|629000|0||0|||1|0|00
