thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|header1|header2|kdheader|noitem|nmitem|vol1|sat1|vol2|sat2|vol3|sat3|vol4|sat4|volkeg|satkeg|hargasat|jumlah|rphblokir
2026|01|015114|015|08|CD|6212|BMB|01|51|2|001|100| A|524113|019|A||||1|keperluan Sehari-hari Perkantoran kurang 40 Pegawai (DKI Jakarta) - Transport Lokal|2.0|ORG|1|KEG|0||0||2.0|STKR|131500|263000|0
2026|01|015114|015|08|CD|6212|FAC|01|51|2|001|100| A|521211|019|A||||1|KDM - Konsumsi Snack Panitia|4.0|ORG|2|MODUL|0||0||8.0|OK|21625|173000|0
2026|01|015114|015|08|CD|6212|FAC|01|51|2|001|100| A|521211|019|A||||2|KDM - Konsumsi Snack Peserta Satker|93.0|SATKR|1|ORG|2|MODUL|0||186.0|OK|21603|4018000|0
2026|01|015114|015|08|CD|6212|FAC|01|51|2|001|100| A|521211|019|A||||3|KDM - Konsumsi Makan Panitia|4.0|ORG|2|MODUL|0||0||8.0|OK|51250|410000|0
2026|01|015114|015|08|CD|6212|FAC|01|51|2|001|100| A|521211|019|A||||4|KDM - Konsumsi Makan Peserta Satker|93.0|SATKR|1|ORG|2|MODUL|0||186.0|OK|51302|9542000|0
2026|01|015114|015|08|CD|6212|FAH|01|51|2|001|100| A|521211|019|A||||1|KDM - Konsumsi Snack Panitia|12.0|ORG|1|MDL|1|KEG|0||12.0|OK|21584|259000|0
2026|01|015114|015|08|CD|6212|FAH|01|51|2|001|100| A|521211|019|A||||2|KDM - Konsumsi Makan Panitia|12.0|ORG|1|MDL|1|KEG|0||12.0|OK|51334|616000|0
2026|01|015114|015|08|CD|6212|FAH|01|51|2|001|100| A|521211|019|A||||3|KDM - Konsumsi Makan Peserta Satker|185.0|SATKR|2|ORG|1|KEG|0||370.0|OK|51300|18981000|0
2026|01|015114|015|08|CD|6212|FAH|01|51|2|001|100| A|521211|019|A||||4|KDM - Konsumsi Snack Peserta Satker|185.0|SATKR|2|ORG|1|KEG|0||370.0|OK|21600|7992000|0
2026|01|015114|015|08|CD|6212|FAL|01|51|2|004|100| A|521211|019|A||||1|KDM - Konsumsi Makan Peserta KPPN|81.0|ORG|2|KEG|2|ORG|0||324.0|OK|37800|12247000|0
2026|01|015114|015|08|CD|6212|FAL|01|51|2|004|100| A|521211|019|A||||2|KDM - Konsumsi Snack Peserta KPPN|81.0|ORG|2|KEG|2||0||324.0|OK|14402|4666000|0
2026|01|015114|015|08|CD|6212|FAL|01|51|2|004|100| A|521211|019|A||||3|KDM - Konsumsi Snack Peserta Bank|10.0|ORG|2|KEG|0||0||20.0|OK|14400|288000|0
