thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|header1|header2|kdheader|noitem|nmitem|vol1|sat1|vol2|sat2|vol3|sat3|vol4|sat4|volkeg|satkeg|hargasat|jumlah|rphblokir
2027|01|015117|015|08|CD|6212|AEF|01|51|2|I01|100| A|521211|019|A|01||1|1|Sosialisasi Survey hasil pelaksanaan reformasi birokrasi dan Koordinasi Penyaluran Dana|0.0||0||0||0||0.0||0|0|0
2027|01|015117|015|08|CD|6212|AEF|01|51|2|I01|100| A|521211|019|A|01|||2|KDM - Snack|25.0|ORG|2|KEG|0||0||50.0|OK|57000|0|0
2027|01|015117|015|08|CD|6212|AEF|01|51|2|I01|100| A|521211|019|A|01|||3|KDM - Makan|25.0|ORG|2|KEG|0||0||50.0|OK|24000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|959|100| A|524113|019|A||||1|Transport Lokal |1.0|ORG|1|KEG|10|BLN|0||10.0|OK|170000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|962|100| A|521211|019|A||||1|CTK - Dokumentasi/Pencetakan/Penggandaan/Laminasi|0.0||0||0||0||1.0|THN|12000000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||1|Kebutuhan Dasar Perkantoran|1.0|THN|0||0||0||1.0|THN|60440000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521113|019|A||||1|Penambah Daya Tahan Tubuh Akhir Tahun Anggaran|19.0|PEG|15|HR|0||0||285.0|OH|19000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521115|019|A|01||1|1|Honor Pengelola Keuangan|0.0||0||0||0||0.0||0|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521115|019|A|01|||2|Kuasa Pengguna Anggaran|1.0|ORG|12|BLN|0||0||12.0|OB|630000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521115|019|A|01|||3|Pejabat Pembuat Komitmen|1.0|ORG|12|BLN|0||0||12.0|OB|610000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521115|019|A|01|||4|Pejabat Penandatangan SPM|1.0|ORG|12|BLN|0||0||12.0|OB|240000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521115|019|A|01|||5|Bendahara Pengeluaran|1.0|ORG|12|BLN|0||0||12.0|OB|210000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521115|019|A|01|||6|Staf Pengelola Keuangan|2.0|ORG|12|BLN|0||0||24.0|OB|160000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521115|019|A|02||1|7|Honor Tim SAI|0.0||0||0||0||0.0||0|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521115|019|A|02|||8|Penanggung Jawab Pengelola Sistem Akuntansi dan Pelaporan Keuangan Instansi (SAI) Tingkat UAKPA|1.0|ORG|12|BLN|0||0||12.0|OB|200000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521115|019|A|02|||9|Koordinator Pengelola Sistem Akuntansi dan Pelaporan Keuangan Instansi (SAI) Tingkat UAKPA|1.0|ORG|12|BLN|0||0||12.0|OB|200000|0|0
